,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S
0,1,2,0,36.0,0,0,13.0,0,0,1
1,0,3,0,28.0,3,1,25.4667,0,0,1
2,0,3,0,28.0,0,0,7.75,0,1,0
3,0,3,1,32.0,0,0,7.75,0,1,0
4,0,3,1,16.0,4,1,39.6875,0,0,1
5,1,3,0,5.0,2,1,19.2583,1,0,0
6,0,3,1,20.0,0,0,9.5,0,0,1
7,0,2,1,30.0,1,0,24.0,1,0,0
8,0,3,1,36.0,0,0,7.4958,0,0,1
9,0,3,1,22.0,0,0,8.05,0,0,1
10,1,1,0,24.0,3,2,263.0,0,0,1
11,1,3,1,9.0,1,1,15.9,0,0,1
12,0,2,1,24.0,0,0,10.5,0,0,1
13,0,3,1,31.0,0,0,7.75,0,1,0
14,0,3,1,28.0,0,0,7.8958,0,0,1
15,0,1,1,58.0,0,2,113.275,1,0,0
16,1,1,0,30.0,0,0,31.0,1,0,0
17,0,3,1,2.0,3,1,21.075,0,0,1
18,1,3,0,5.0,4,2,31.3875,0,0,1
19,0,3,1,28.0,0,0,8.05,0,0,1
20,1,1,1,56.0,0,0,35.5,1,0,0
21,0,3,1,28.0,0,0,7.8958,0,0,1
22,1,3,0,24.0,0,3,19.2583,1,0,0
23,0,3,0,43.0,1,6,46.9,0,0,1
24,0,1,1,28.0,0,0,227.525,1,0,0
25,0,3,1,29.0,0,0,8.05,0,0,1
26,0,2,1,27.0,0,0,13.0,0,0,1
27,0,1,1,37.0,1,0,53.1,0,0,1
28,1,1,0,35.0,0,0,512.3292,1,0,0
29,1,3,1,24.0,0,0,7.1417,0,0,1
30,0,1,1,64.0,1,4,263.0,0,0,1
31,0,2,1,18.0,0,0,73.5,0,0,1
32,0,3,1,21.0,0,0,8.05,0,0,1
33,1,3,1,44.0,0,0,7.925,0,0,1
34,1,2,0,30.0,0,0,12.35,0,1,0
35,0,3,1,70.5,0,0,7.75,0,1,0
36,0,3,1,28.0,8,2,69.55,0,0,1
37,1,3,0,28.0,0,0,7.75,0,1,0
38,0,3,1,28.0,0,0,7.75,0,1,0
39,0,3,1,22.0,0,0,7.25,0,0,1
40,0,3,1,15.0,1,1,7.2292,1,0,0
41,0,3,1,22.0,0,0,9.35,0,0,1
42,1,3,0,31.0,0,0,8.6833,0,0,1
43,0,3,1,28.0,0,0,7.2292,1,0,0
44,0,2,1,27.0,0,0,26.0,0,0,1
45,0,1,1,21.0,0,1,77.2875,0,0,1
46,1,3,1,30.0,0,0,9.5,0,0,1
47,1,1,1,40.0,0,0,31.0,1,0,0
48,1,1,1,0.92,1,2,151.55,0,0,1
49,1,2,0,36.0,0,0,13.0,0,0,1
50,1,1,0,38.0,0,0,227.525,1,0,0
51,1,1,0,32.0,0,0,76.2917,1,0,0
52,1,3,0,38.0,1,5,31.3875,0,0,1
53,1,3,0,28.0,1,0,15.5,0,1,0
54,0,3,1,40.5,0,0,7.75,0,1,0
55,1,1,0,52.0,1,1,93.5,0,0,1
56,1,3,1,26.0,0,0,56.4958,0,0,1
57,0,3,1,28.0,0,0,8.05,0,0,1
58,0,3,1,28.0,0,0,7.2292,1,0,0
59,0,1,1,28.0,0,0,26.0,0,0,1
60,1,2,0,4.0,1,1,23.0,0,0,1
61,1,1,0,39.0,1,1,79.65,0,0,1
62,1,2,0,2.0,1,1,26.0,0,0,1
63,0,3,0,28.0,0,0,8.05,0,0,1
64,0,3,1,28.0,0,0,8.05,0,0,1
65,0,2,1,28.0,0,1,33.0,0,0,1
66,0,2,1,23.0,0,0,13.0,0,0,1
67,1,3,0,4.0,0,2,22.025,0,0,1
68,1,3,0,22.0,0,0,7.75,0,1,0
69,0,3,1,28.0,0,0,7.8958,0,0,1
70,1,1,1,27.0,1,0,53.1,0,0,1
71,1,3,0,28.0,0,2,22.3583,1,0,0
72,1,3,0,18.0,0,0,7.4958,0,0,1
73,0,3,1,34.0,0,0,6.4958,0,0,1
74,1,1,0,15.0,0,1,211.3375,0,0,1
75,0,3,1,28.5,0,0,7.2292,1,0,0
76,0,2,1,34.0,0,0,13.0,0,0,1
77,0,3,0,21.0,1,0,9.825,0,0,1
78,0,2,1,28.0,0,0,15.05,1,0,0
79,1,3,0,16.0,0,0,7.75,0,1,0
80,0,2,1,57.0,0,0,12.35,0,1,0
81,0,2,0,24.0,0,0,13.0,0,0,1
82,1,1,1,27.0,0,0,76.7292,1,0,0
83,1,1,1,32.0,0,0,30.5,1,0,0
84,0,3,1,24.0,0,0,7.05,0,0,1
85,1,1,0,24.0,0,0,69.3,1,0,0
86,0,3,1,28.0,0,0,7.225,1,0,0
87,0,3,0,3.0,3,1,21.075,0,0,1
88,1,3,0,28.0,0,0,7.75,0,1,0
89,0,3,1,24.0,0,0,7.8958,0,0,1
90,0,3,1,28.0,0,0,7.75,0,1,0
91,0,3,1,28.0,0,0,8.05,0,0,1
92,1,3,0,29.0,0,2,15.2458,1,0,0
93,0,3,0,40.0,1,0,9.475,0,0,1
94,1,2,0,42.0,0,0,13.0,0,0,1
95,1,3,1,20.0,1,0,7.925,0,0,1
96,0,1,1,47.0,0,0,52.0,0,0,1
97,0,3,1,30.0,1,0,16.1,0,0,1
98,0,3,1,34.5,0,0,6.4375,1,0,0
99,1,2,1,8.0,1,1,36.75,0,0,1
100,0,3,1,19.0,0,0,10.1708,0,0,1
101,0,3,1,28.0,0,0,7.225,1,0,0
102,1,2,1,34.0,0,0,13.0,0,0,1
103,0,2,0,44.0,1,0,26.0,0,0,1
104,0,3,1,26.0,0,0,7.8875,0,0,1
105,1,2,0,33.0,1,2,27.75,0,0,1
106,0,2,1,54.0,0,0,14.0,0,0,1
107,1,3,1,20.0,1,1,15.7417,1,0,0
108,0,3,1,28.0,0,0,8.05,0,0,1
109,0,3,0,30.5,0,0,7.75,0,1,0
110,0,3,1,16.0,0,0,9.5,0,0,1
111,0,3,1,28.0,0,0,8.05,0,0,1
112,0,3,1,25.0,0,0,7.25,0,0,1
113,1,1,1,60.0,1,1,79.2,1,0,0
114,0,1,1,55.0,0,0,30.5,0,0,1
115,1,1,0,42.0,0,0,227.525,1,0,0
116,1,1,0,38.0,1,0,71.2833,1,0,0
117,1,1,0,21.0,2,2,262.375,1,0,0
118,1,1,0,56.0,0,1,83.1583,1,0,0
119,1,2,0,28.0,0,0,12.65,0,0,1
120,0,3,1,32.0,0,0,7.925,0,0,1
121,0,3,1,28.0,0,0,7.8958,0,0,1
122,0,3,1,28.0,0,0,7.7333,0,1,0
123,0,3,1,22.0,1,0,7.25,0,0,1
124,0,3,1,17.0,0,0,7.125,0,0,1
125,1,2,0,34.0,0,0,13.0,0,0,1
126,1,2,0,50.0,0,0,10.5,0,0,1
127,0,3,1,28.0,0,0,8.05,0,0,1
128,0,3,1,28.0,1,2,23.45,0,0,1
129,0,3,1,28.0,0,0,8.4583,0,1,0
130,0,3,1,28.0,0,0,7.2292,1,0,0
131,0,2,1,19.0,0,0,10.5,0,0,1
132,0,2,1,23.0,0,0,15.0458,1,0,0
133,0,3,1,28.0,1,0,19.9667,0,0,1
134,1,1,1,36.0,1,2,120.0,0,0,1
135,0,3,1,28.0,0,0,8.05,0,0,1
136,0,3,1,28.0,0,0,7.7958,0,0,1
137,0,2,1,33.0,0,0,12.275,0,0,1
138,1,2,0,28.0,0,0,33.0,0,0,1
139,0,3,1,30.0,0,0,8.05,0,0,1
140,1,1,1,28.0,0,0,30.5,0,0,1
141,0,1,1,18.0,1,0,108.9,1,0,0
142,1,3,0,13.0,0,0,7.2292,1,0,0
143,1,1,0,30.0,0,0,93.5,0,0,1
144,1,1,0,24.0,0,0,49.5042,1,0,0
145,1,2,0,6.0,0,1,33.0,0,0,1
146,0,1,1,28.0,0,0,52.0,0,0,1
147,0,1,1,47.0,0,0,34.0208,0,0,1
148,1,3,0,28.0,2,0,23.25,0,1,0
149,0,3,1,28.0,0,0,14.5,0,0,1
150,0,3,1,21.0,0,0,8.05,0,0,1
151,0,1,1,19.0,3,2,263.0,0,0,1
152,0,3,1,26.0,0,0,8.05,0,0,1
153,1,3,0,17.0,4,2,7.925,0,0,1
154,0,3,1,4.0,3,2,27.9,0,0,1
155,0,3,1,11.0,0,0,18.7875,1,0,0
156,1,3,0,28.0,1,0,24.15,0,1,0
157,0,3,1,21.0,0,0,7.925,0,0,1
158,1,3,1,28.0,2,0,23.25,0,1,0
159,1,1,0,31.0,0,2,164.8667,0,0,1
160,0,3,1,39.0,0,0,24.15,0,0,1
161,1,3,0,28.0,0,0,7.8792,0,1,0
162,0,3,1,49.0,0,0,0.0,0,0,1
163,1,3,1,12.0,1,0,11.2417,1,0,0
164,1,1,0,54.0,1,0,78.2667,1,0,0
165,0,3,1,28.0,0,0,7.8958,0,0,1
166,1,2,0,22.0,1,2,41.5792,1,0,0
167,1,2,0,32.5,0,0,13.0,0,0,1
168,0,3,1,44.0,0,0,8.05,0,0,1
169,0,3,0,28.0,1,0,14.4542,1,0,0
170,0,3,1,21.0,0,0,7.925,0,0,1
171,1,3,1,28.0,1,1,15.2458,1,0,0
172,0,3,1,28.0,0,0,15.5,0,1,0
173,0,1,1,58.0,0,0,29.7,1,0,0
174,1,3,1,3.0,1,1,15.9,0,0,1
175,1,3,1,32.0,0,0,56.4958,0,0,1
176,0,3,1,74.0,0,0,7.775,0,0,1
177,0,3,1,7.0,4,1,39.6875,0,0,1
178,0,3,1,25.0,1,0,17.8,0,0,1
179,1,1,1,38.0,1,0,90.0,0,0,1
180,0,3,1,28.0,1,0,15.85,0,0,1
181,0,3,1,32.0,0,0,7.925,0,0,1
182,0,1,1,46.0,1,0,61.175,0,0,1
183,0,3,1,2.0,4,1,39.6875,0,0,1
184,1,3,1,16.0,0,0,8.05,0,0,1
185,1,1,0,33.0,1,0,90.0,0,1,0
186,1,3,0,22.0,0,0,7.25,0,0,1
187,1,3,0,28.0,0,0,7.8792,0,1,0
188,0,3,1,21.0,0,0,7.7333,0,1,0
189,0,3,1,28.0,0,0,24.15,0,1,0
190,0,2,1,25.0,0,0,13.0,0,0,1
191,1,1,0,52.0,1,0,78.2667,1,0,0
192,0,3,0,28.0,0,2,7.75,0,1,0
193,1,3,0,28.0,0,0,7.75,0,1,0
194,0,3,1,28.0,0,0,7.7292,0,1,0
195,0,2,1,25.0,1,2,41.5792,1,0,0
196,0,3,1,28.0,0,0,56.4958,0,0,1
197,0,3,1,23.0,0,0,7.8958,0,0,1
198,1,2,0,42.0,1,0,26.0,0,0,1
199,1,3,0,26.0,0,0,7.925,0,0,1
200,0,3,1,28.0,0,0,8.05,0,0,1
201,0,3,0,28.0,0,0,7.6292,0,1,0
202,0,1,1,28.0,0,0,25.925,0,0,1
203,1,1,0,35.0,0,0,135.6333,0,0,1
204,1,1,0,23.0,3,2,263.0,0,0,1
205,1,3,1,28.0,1,1,15.2458,1,0,0
206,0,2,1,19.0,1,1,36.75,0,0,1
207,0,3,1,42.0,0,0,7.55,0,0,1
208,0,3,1,11.0,5,2,46.9,0,0,1
209,0,2,1,18.0,0,0,11.5,0,0,1
210,0,1,1,52.0,1,1,79.65,0,0,1
211,0,3,0,39.0,1,5,31.275,0,0,1
212,1,3,0,1.0,0,2,15.7417,1,0,0
213,0,3,1,28.0,0,0,7.225,1,0,0
214,1,1,0,35.0,1,0,83.475,0,0,1
215,0,2,1,39.0,0,0,26.0,0,0,1
216,0,2,1,34.0,1,0,26.0,0,0,1
217,0,1,1,28.0,0,0,0.0,0,0,1
218,0,3,0,14.5,1,0,14.4542,1,0,0
219,1,3,0,31.0,1,1,20.525,0,0,1
220,1,2,0,25.0,1,1,30.0,0,0,1
221,0,2,1,32.0,0,0,10.5,0,0,1
222,1,2,1,62.0,0,0,10.5,0,0,1
223,1,1,0,30.0,0,0,56.9292,1,0,0
224,1,3,0,24.0,1,0,15.85,0,0,1
225,0,2,1,54.0,0,0,26.0,0,0,1
226,0,3,0,48.0,1,3,34.375,0,0,1
227,1,1,1,36.0,0,1,512.3292,1,0,0
228,0,3,1,20.0,0,0,9.225,0,0,1
229,0,2,1,28.0,0,0,0.0,0,0,1
230,0,3,1,28.0,0,0,9.5,0,0,1
231,0,3,1,33.0,0,0,7.775,0,0,1
232,0,3,0,9.0,1,1,15.2458,1,0,0
233,1,1,0,54.0,1,0,59.4,1,0,0
234,0,3,1,18.0,0,0,7.75,0,0,1
235,0,1,1,46.0,0,0,79.2,1,0,0
236,0,2,1,21.0,0,0,73.5,0,0,1
237,0,3,1,38.0,0,0,7.05,0,0,1
238,1,3,1,27.0,0,0,8.6625,0,0,1
239,0,3,0,37.0,0,0,9.5875,0,0,1
240,0,2,1,46.0,0,0,26.0,0,0,1
241,1,2,0,40.0,0,0,13.0,0,0,1
242,0,2,1,36.0,0,0,13.0,0,0,1
243,0,3,1,19.0,0,0,7.8958,0,0,1
244,1,3,1,20.0,0,0,7.2292,1,0,0
245,0,3,1,32.0,0,0,7.8958,0,0,1
246,0,3,0,29.0,1,1,10.4625,0,0,1
247,0,3,1,51.0,0,0,7.0542,0,0,1
248,0,1,1,45.0,0,0,35.5,0,0,1
249,1,3,0,28.0,0,0,7.8292,0,1,0
250,1,2,1,1.0,2,1,39.0,0,0,1
251,0,3,0,28.0,8,2,69.55,0,0,1
252,0,1,1,71.0,0,0,49.5042,1,0,0
253,0,3,0,18.0,0,0,7.775,0,0,1
254,1,3,1,29.0,0,0,7.75,0,1,0
255,0,3,1,36.0,1,1,24.15,0,0,1
256,0,3,1,20.0,0,0,8.05,0,0,1
257,1,3,0,14.0,1,0,11.2417,1,0,0
258,1,1,1,25.0,1,0,91.0792,1,0,0
259,1,1,1,17.0,0,2,110.8833,1,0,0
260,1,1,1,28.0,0,0,35.5,0,0,1
261,0,3,1,28.0,0,0,7.8292,0,1,0
262,1,3,0,27.0,0,1,12.475,0,0,1
263,0,3,1,35.0,0,0,8.05,0,0,1
264,0,1,1,27.0,0,2,211.5,1,0,0
265,1,3,0,28.0,1,0,16.1,0,0,1
266,1,1,0,43.0,0,1,211.3375,0,0,1
267,0,2,1,52.0,0,0,13.0,0,0,1
268,1,1,0,48.0,0,0,25.9292,0,0,1
269,1,1,0,19.0,0,2,26.2833,0,0,1
270,1,2,1,2.0,1,1,26.0,0,0,1
271,0,2,1,18.0,0,0,11.5,0,0,1
272,1,1,1,28.0,0,0,29.7,1,0,0
273,1,1,0,22.0,0,2,49.5,1,0,0
274,1,1,0,18.0,0,2,79.65,0,0,1
275,0,3,1,27.0,1,0,14.4542,1,0,0
276,0,1,1,38.0,0,1,153.4625,0,0,1
277,0,3,1,28.0,0,0,7.8542,0,0,1
278,0,3,1,39.0,0,0,7.925,0,0,1
279,0,2,1,25.0,1,0,26.0,0,0,1
280,0,3,0,45.0,1,4,27.9,0,0,1
281,0,3,1,9.0,4,2,31.3875,0,0,1
282,0,3,1,28.0,0,0,7.75,0,1,0
283,1,1,1,35.0,0,0,512.3292,1,0,0
284,0,1,1,36.0,1,0,78.85,0,0,1
285,0,1,1,28.0,0,0,26.55,0,0,1
286,0,3,1,14.0,5,2,46.9,0,0,1
287,0,3,0,25.0,0,0,7.775,0,0,1
288,0,3,1,21.0,0,0,8.4333,0,0,1
289,1,2,0,24.0,0,2,14.5,0,0,1
290,1,2,0,27.0,1,0,13.8583,1,0,0
291,1,3,0,18.0,0,0,9.8417,0,0,1
292,0,3,0,28.0,0,0,7.8958,0,0,1
293,1,1,0,16.0,0,0,86.5,0,0,1
294,0,3,1,21.0,0,0,7.775,0,0,1
295,0,2,1,51.0,0,0,12.525,0,0,1
296,0,3,1,51.0,0,0,7.75,0,0,1
297,1,2,0,34.0,1,1,32.5,0,0,1
298,1,1,0,35.0,1,0,52.0,0,0,1
299,1,2,0,14.0,1,0,30.0708,1,0,0
300,1,3,0,28.0,0,0,7.7875,0,1,0
301,1,1,0,58.0,0,0,26.55,0,0,1
302,0,1,1,28.0,0,0,30.6958,1,0,0
303,1,1,0,18.0,2,2,262.375,1,0,0
304,0,3,1,21.0,0,0,7.8,0,0,1
305,0,3,1,22.0,0,0,7.7958,0,0,1
306,1,3,1,3.0,4,2,31.3875,0,0,1
307,0,3,1,28.0,0,0,7.8958,0,0,1
308,1,1,0,36.0,1,2,120.0,0,0,1
309,0,3,1,18.0,1,1,20.2125,0,0,1
310,0,2,1,30.0,0,0,13.0,0,0,1
311,1,1,0,49.0,0,0,25.9292,0,0,1
312,1,2,0,34.0,0,1,23.0,0,0,1
313,1,1,1,28.0,0,0,26.55,0,0,1
314,1,2,0,27.0,0,0,10.5,0,0,1
315,0,3,1,16.0,1,1,20.25,0,0,1
316,0,3,0,29.0,0,4,21.075,0,0,1
317,0,3,1,28.0,1,0,24.15,0,1,0
318,1,1,1,52.0,0,0,30.5,0,0,1
319,1,2,0,23.0,0,0,13.7917,1,0,0
320,0,3,1,21.0,0,0,8.6625,0,0,1
321,0,3,1,20.0,0,0,7.8542,0,0,1
322,0,3,1,42.0,0,0,8.6625,0,0,1
323,0,1,1,31.0,0,0,50.4958,0,0,1
324,1,1,1,37.0,1,1,52.5542,0,0,1
325,0,1,1,28.0,0,0,27.7208,1,0,0
326,0,3,0,28.0,1,2,23.45,0,0,1
327,0,2,1,28.0,0,0,0.0,0,0,1
328,1,3,0,36.0,1,0,17.4,0,0,1
329,1,1,0,18.0,1,0,227.525,1,0,0
330,0,3,1,20.0,0,0,7.8542,0,0,1
331,0,3,0,26.0,1,0,16.1,0,0,1
332,1,1,0,28.0,1,0,82.1708,1,0,0
333,1,2,0,13.0,0,1,19.5,0,0,1
334,0,3,1,36.0,0,0,0.0,0,0,1
335,0,3,1,65.0,0,0,7.75,0,1,0
336,0,3,1,40.0,1,1,15.5,0,1,0
337,0,1,1,62.0,0,0,26.55,0,0,1
338,0,2,0,57.0,0,0,10.5,0,0,1
339,0,3,1,28.0,0,0,14.5,0,0,1
340,1,1,1,51.0,0,0,26.55,0,0,1
341,1,1,0,44.0,0,1,57.9792,1,0,0
342,0,3,1,28.0,0,0,8.05,0,0,1
343,0,3,0,18.0,2,0,18.0,0,0,1
344,1,3,1,29.0,0,0,9.5,0,0,1
345,0,2,1,36.5,0,2,26.0,0,0,1
346,1,2,1,3.0,1,1,26.0,0,0,1
347,0,1,1,28.0,0,0,0.0,0,0,1
348,0,2,1,48.0,0,0,13.0,0,0,1
349,0,3,1,8.0,4,1,29.125,0,1,0
350,0,2,1,47.0,0,0,15.0,0,0,1
351,0,3,1,24.0,0,0,9.5,0,0,1
352,1,3,0,19.0,0,0,7.8792,0,1,0
353,0,2,1,59.0,0,0,13.5,0,0,1
354,0,3,0,20.0,0,0,8.6625,0,0,1
355,0,3,1,30.5,0,0,8.05,0,0,1
356,1,3,1,28.0,0,0,7.75,0,1,0
357,1,3,1,1.0,1,2,20.575,0,0,1
358,1,1,1,35.0,0,0,26.2875,0,0,1
359,0,2,1,39.0,0,0,13.0,0,0,1
360,1,2,0,35.0,0,0,21.0,0,0,1
361,0,2,1,28.0,0,0,0.0,0,0,1
362,0,3,1,28.0,0,0,7.8958,0,0,1
363,1,3,0,28.0,0,0,7.75,0,1,0
364,1,2,1,1.0,0,2,37.0042,1,0,0
365,1,3,1,22.0,0,0,7.225,1,0,0
366,0,3,0,18.0,1,0,17.8,0,0,1
367,1,3,0,30.0,0,0,12.475,0,0,1
368,1,1,0,16.0,0,1,39.4,0,0,1
369,0,2,1,29.0,0,0,10.5,0,0,1
370,0,3,1,28.0,0,0,7.8958,0,0,1
371,0,1,1,64.0,0,0,26.0,0,0,1
372,0,3,1,28.0,1,0,15.5,0,1,0
373,0,3,1,1.0,4,1,39.6875,0,0,1
374,1,2,0,17.0,0,0,12.0,1,0,0
375,1,1,0,16.0,0,1,57.9792,1,0,0
376,0,3,1,21.0,0,0,7.25,0,0,1
377,0,3,1,21.0,0,0,7.8542,0,0,1
378,1,2,1,0.83,0,2,29.0,0,0,1
379,1,2,0,17.0,0,0,10.5,0,0,1
380,0,3,1,19.0,0,0,0.0,0,0,1
381,1,1,0,33.0,1,0,53.1,0,0,1
382,0,1,0,50.0,0,0,28.7125,1,0,0
383,1,3,1,9.0,0,2,20.525,0,0,1
384,0,3,1,20.5,0,0,7.25,0,0,1
385,1,3,1,32.0,0,0,7.925,0,0,1
386,0,3,0,28.0,0,2,15.2458,1,0,0
387,0,2,1,21.0,1,0,11.5,0,0,1
388,1,3,0,4.0,0,1,13.4167,1,0,0
389,0,2,1,25.0,0,0,13.0,0,0,1
390,1,1,1,28.0,0,0,26.55,0,0,1
391,0,3,1,25.0,0,0,7.8958,0,0,1
392,0,3,1,28.0,0,0,9.5,0,0,1
393,0,3,1,36.0,0,0,7.8958,0,0,1
394,0,3,1,47.0,0,0,7.25,0,0,1
395,1,1,1,25.0,1,0,55.4417,1,0,0
396,1,3,1,6.0,0,1,12.475,0,0,1
397,0,3,1,1.0,5,2,46.9,0,0,1
398,0,1,1,28.0,0,0,27.7208,1,0,0
399,0,1,1,60.0,0,0,26.55,0,0,1
400,0,3,1,28.0,0,0,7.8958,0,0,1
401,0,3,1,28.0,0,0,6.95,0,1,0
402,0,3,0,41.0,0,5,39.6875,0,0,1
403,1,3,0,16.0,0,0,7.7333,0,1,0
404,1,1,0,19.0,0,0,30.0,0,0,1
405,1,3,0,28.0,1,0,15.5,0,1,0
406,0,2,1,36.0,1,2,27.75,0,0,1
407,0,3,1,33.0,0,0,8.6542,0,0,1
408,0,3,1,4.0,4,2,31.275,0,0,1
409,1,1,1,42.0,0,0,26.2875,0,0,1
410,1,2,0,24.0,1,0,26.0,0,0,1
411,1,1,0,28.0,1,0,146.5208,1,0,0
412,1,3,0,1.0,1,1,11.1333,0,0,1
413,1,3,0,27.0,0,0,7.925,0,0,1
414,0,3,1,26.0,0,0,7.8958,0,0,1
415,1,3,0,28.0,0,0,7.8792,0,1,0
416,0,2,1,27.0,0,0,13.0,0,0,1
417,0,1,1,54.0,0,0,51.8625,0,0,1
418,0,3,1,38.0,0,0,8.6625,0,0,1
419,1,1,0,29.0,0,0,211.3375,0,0,1
420,0,2,1,44.0,1,0,26.0,0,0,1
421,1,2,0,34.0,0,0,10.5,0,0,1
422,1,2,0,8.0,0,2,26.25,0,0,1
423,0,3,1,28.0,0,0,7.75,0,1,0
424,0,3,1,17.0,0,0,8.6625,0,0,1
425,1,3,0,5.0,0,0,12.475,0,0,1
426,0,3,1,48.0,0,0,7.8542,0,0,1
427,0,1,1,50.0,1,0,106.425,1,0,0
428,0,2,1,34.0,1,0,21.0,0,0,1
429,0,3,1,2.0,4,1,29.125,0,1,0
430,1,1,0,63.0,1,0,77.9583,0,0,1
431,0,3,1,28.5,0,0,16.1,0,0,1
432,1,2,0,30.0,0,0,13.0,0,0,1
433,0,3,0,45.0,0,0,7.75,0,0,1
434,1,1,0,17.0,1,0,57.0,0,0,1
435,0,3,1,20.0,0,0,8.6625,0,0,1
436,1,3,1,28.0,0,0,56.4958,0,0,1
437,0,3,0,9.0,4,2,31.275,0,0,1
438,0,3,1,9.0,5,2,46.9,0,0,1
439,0,2,1,43.0,1,1,26.25,0,0,1
440,1,1,0,14.0,1,2,120.0,0,0,1
441,0,3,1,28.0,0,0,7.75,0,1,0
442,1,3,1,18.0,0,0,8.05,0,0,1
443,0,2,1,34.0,1,0,21.0,0,0,1
